Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0402_1005Metric,165.96,-96.82,0.0,top
C2,10uf,C_0402_1005Metric,182.735,-95.245,-90.0,top
C3,10 nf,C_0402_1005Metric,173.32,-92.0,-90.0,top
C4,100 nf,C_0402_1005Metric,176.38,-102.45,0.0,top
C5,100 nf,C_0402_1005Metric,180.96,-96.4,90.0,top
C6,100 nf,C_0402_1005Metric,178.965,-87.57,0.0,top
C7,100 nf,C_0402_1005Metric,176.21,-95.77,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,173.1,-112.8,180.0,top
L1,15µH,L_0201_0603Metric,178.425,-96.2,180.0,top
R1,5.1k,R_0402_1005Metric,171.17,-106.495,180.0,top
R2,5.1k,R_0402_1005Metric,174.72,-106.395,0.0,top
R3,10k,R_0402_1005Metric,161.84,-97.59,0.0,top
R4,10k,R_0402_1005Metric,179.15,-100.22,0.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,162.87,-103.85,0.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,181.93,-104.23,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,171.25,-70.82,0.0,top
U2,SX1262IMLTRT,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,179.36,-92.1825,270.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,166.86,-92.07,180.0,top
